,PMID,Observational_study_characteristics
5815,25855160,prospective studies
5816,25855160,prospective
5817,25719380,prospective studies
5818,25719380,prospective
5820,29307154,case-control studies
5821,29307154,case-control
5822,28223014,retrospective studies
5823,28223014,retrospective
5824,28008586,case-control
5826,27863461,case-control studies
5827,27863461,case-control
5828,27863461,cohort
5830,27618833,follow-up studies
5832,27419847,cross-sectional studies
5833,27419847,cross-sectional
5834,27163552,retrospective studies
5835,27163552,retrospective
5838,27046039,retrospective studies
5839,27046039,follow-up studies
5840,27046039,retrospective
5842,27997462,retrospective studies
5843,27997462,retrospective
5844,26886940,longitudinal studies
5845,26886940,prospective studies
5846,26886940,longitudinal
5847,26886940,prospective
5848,27206624,case-control studies
5849,27206624,case-control
5851,28506419,retrospective studies
5852,28506419,retrospective
5854,27224264,case-control studies
5855,27224264,case-control
5863,28431875,case-control studies
5864,28431875,case-control
5867,27366942,prospective studies
5868,27366942,prospective
5869,27143020,cohort studies
5870,27143020,prospective studies
5871,27143020,cohort
5872,27143020,prospective
5876,27394703,retrospective studies
5877,27394703,cross-sectional studies
5878,27394703,retrospective
5879,27394703,cross-sectional
5882,27340508,case-control studies
5883,27340508,case-control
5884,27855396,case-control studies
5885,27855396,case-control
5886,29528580,case-control studies
5887,29528580,case-control
5888,28576206,retrospective studies
5889,28576206,follow-up studies
5890,28576206,retrospective
5891,28236218,retrospective studies
5892,28236218,retrospective
5893,26850223,case-control studies
5894,26850223,case-control
5895,26505232,retrospective studies
5896,26505232,retrospective
5897,29528579,case-control studies
5898,29528579,case-control
5899,27392116,case-control studies
5900,27392116,prospective studies
5901,27392116,case-control
5902,27392116,prospective
5903,26735162,retrospective studies
5904,26735162,follow-up studies
5905,26735162,retrospective
5906,26559967,retrospective studies
5907,26559967,follow-up studies
5908,26559967,retrospective
5910,25719369,retrospective studies
5911,25719369,retrospective
5912,28453366,retrospective studies
5913,28453366,retrospective
5914,27902601,retrospective studies
5915,27902601,retrospective
5917,26775634,retrospective studies
5918,26775634,retrospective
5924,29390469,follow-up studies
5925,27824294,case-control studies
5926,27824294,case-control
5927,27353948,prospective studies
5928,27353948,prospective
5929,26795296,prospective studies
5930,26795296,prospective
5932,27911447,retrospective studies
5933,27911447,retrospective
5937,29187926,retrospective studies
5938,29187926,retrospective
5939,29187926,cohort
5942,27647113,retrospective studies
5943,27647113,retrospective
5944,27647113,cohort
5948,27465669,retrospective studies
5949,27465669,retrospective
5950,27465669,cohort
5961,28238453,case-control studies
5962,28238453,case-control
5965,26965896,retrospective studies
5966,26965896,retrospective
5967,26204988,retrospective studies
5968,26204988,retrospective
5969,28179452,retrospective studies
5970,28179452,prospective studies
5971,28179452,retrospective
5972,28179452,prospective
5973,27237591,case-control studies
5974,27237591,case-control
5977,27273008,follow-up studies
5979,28665696,case-control studies
5980,28665696,case-control
5984,26955881,case-control studies
5985,26955881,case-control
5986,28689782,retrospective
5987,28689782,prospective
5988,29180171,retrospective studies
5989,29180171,follow-up studies
5990,29180171,retrospective
5991,29180171,cohort
5992,29088997,retrospective studies
5993,29088997,retrospective
5994,29088997,cohort
5995,29050489,case-control studies
5996,29050489,case-control
5997,27291145,prospective studies
5998,27291145,prospective
5999,28711580,retrospective
6000,28711580,cohort
6001,28260364,retrospective studies
6002,28260364,retrospective
6003,26865797,retrospective studies
6004,26865797,retrospective
6005,26775678,prospective studies
6006,26775678,prospective
6008,28606264,case-control studies
6009,28606264,retrospective studies
6010,28606264,case-control
6011,28606264,retrospective
6012,28388348,retrospective studies
6013,28388348,retrospective
6014,26754077,retrospective studies
6015,26754077,follow-up studies
6016,26754077,retrospective
6021,27888002,case-control studies
6022,27888002,case-control
6023,27540833,prospective studies
6024,27540833,prospective
6025,28247855,retrospective studies
6026,28247855,retrospective
6027,26767650,cross-sectional studies
6028,26767650,cross-sectional
6030,29110673,retrospective studies
6031,29110673,retrospective
6032,29110673,cohort
6034,28089937,retrospective studies
6035,28089937,follow-up studies
6036,28089937,retrospective
6039,28833367,prospective studies
6040,28833367,prospective
6042,28133945,follow-up studies
6043,28133945,prospective studies
6044,28133945,prospective
6046,28521825,case-control studies
6047,28521825,case-control
6048,28225862,case-control studies
6049,28225862,case-control
6064,26459776,case-control studies
6065,26459776,case-control
6066,27854550,prospective studies
6067,27854550,cross-sectional studies
6068,27854550,prospective
6069,27854550,cross-sectional
6070,28486791,case-control studies
6071,28486791,case-control
6075,28121931,case-control studies
6076,28121931,case-control
6077,27181740,retrospective studies
6078,27181740,retrospective
6079,26854256,retrospective studies
6080,26854256,retrospective
6081,26854256,cohort
6082,27853063,prospective
6084,27986127,case-control studies
6085,27986127,case-control
6089,28049375,cohort studies
6090,28049375,cohort
6095,28187375,follow-up studies
6096,26836805,case-control studies
6097,26836805,case-control
6098,26791860,cohort studies
6099,26791860,cohort
6100,26997461,retrospective studies
6101,26997461,retrospective
6104,27729026,follow-up studies
6105,27729026,prospective studies
6106,27729026,prospective
6109,26765838,cohort studies
6110,26765838,cohort
6112,26518171,cross-sectional studies
6113,26518171,cohort
6114,26518171,cross-sectional
6116,26675930,retrospective studies
6117,26675930,retrospective
6118,26675930,prospective
6119,27245471,case-control studies
6120,27245471,case-control
6123,27623725,retrospective studies
6124,27623725,retrospective
6127,29169383,retrospective studies
6128,29169383,retrospective
6132,27914217,case-control studies
6133,27914217,case-control
6134,27364542,cross-sectional studies
6135,27364542,cross-sectional
6137,26612322,retrospective studies
6138,26612322,retrospective
6139,26612322,prospective
6140,28098046,cross-sectional studies
6141,28098046,cross-sectional
6143,27615359,case-control studies
6144,27615359,case-control
6150,25994301,case-control studies
6151,25994301,case-control
6156,27119700,cross-sectional studies
6157,27119700,cross-sectional
6159,28585680,follow-up studies
6160,28585680,longitudinal studies
6161,28585680,cohort
6162,28585680,longitudinal
6166,26465804,prospective
6171,28802296,cross-sectional studies
6172,28802296,cross-sectional
6177,29798345,retrospective studies
6178,29798345,retrospective
6179,27263038,prospective studies
6180,27263038,prospective
6181,26191611,case-control studies
6182,26191611,case-control
6187,27086809,follow-up studies
6190,27116848,retrospective studies
6191,27116848,retrospective
6192,27510660,retrospective studies
6193,27510660,retrospective
6198,26546193,retrospective studies
6199,26546193,follow-up studies
6200,26546193,retrospective
6201,28071623,cross-sectional studies
6202,28071623,retrospective
6203,28071623,cross-sectional
6204,27913858,retrospective studies
6205,27913858,retrospective
6215,29533423,retrospective studies
6216,29533423,retrospective
6220,29198083,retrospective studies
6221,29198083,retrospective
6222,28756521,retrospective studies
6223,28756521,cohort studies
6224,28756521,longitudinal studies
6225,28756521,cross-sectional studies
6226,28756521,retrospective
6227,28756521,cohort
6228,28756521,longitudinal
6229,28756521,cross-sectional
6230,28954336,retrospective studies
6231,28954336,retrospective
6232,27259353,cross-sectional studies
6233,27259353,cross-sectional
6238,28044305,retrospective studies
6239,28044305,retrospective
6245,27941815,cohort studies
6246,27941815,cohort
6247,27941815,prospective
6248,27042749,retrospective
6251,27905306,retrospective studies
6252,27905306,cohort studies
6253,27905306,prospective studies
6254,27905306,retrospective
6255,27905306,cohort
6256,27905306,prospective
6262,27686396,retrospective studies
6263,27686396,retrospective
6264,28793141,cohort studies
6265,28793141,cohort
6266,28793141,prospective
6267,26582484,cohort studies
6268,26582484,cohort
6270,26708844,retrospective studies
6271,26708844,retrospective
6272,26708844,cohort
6274,27405595,retrospective studies
6275,27405595,follow-up studies
6276,27405595,retrospective
6280,28973128,retrospective studies
6281,28973128,retrospective
6284,26708858,prospective studies
6285,26708858,prospective
6296,29050166,retrospective studies
6297,29050166,retrospective
6302,29038858,retrospective studies
6303,29038858,retrospective
6304,27530498,longitudinal studies
6305,27530498,prospective studies
6306,27530498,longitudinal
6307,27530498,prospective
6308,27121690,cohort
6309,27121690,prospective
6310,26884115,retrospective studies
6311,26884115,retrospective
6316,27062788,retrospective studies
6317,27062788,retrospective
6319,28919611,retrospective studies
6320,28919611,retrospective
6323,29120584,case-control studies
6324,29120584,case-control
6329,26881423,retrospective studies
6330,26881423,follow-up studies
6331,26881423,retrospective
6335,29275552,retrospective
6336,27839932,retrospective studies
6337,27839932,retrospective
6338,26523626,retrospective studies
6339,26523626,retrospective
6340,28479907,cross-sectional studies
6341,28479907,cross-sectional
6343,26784745,case-control studies
6344,26784745,prospective studies
6345,26784745,case-control
6346,26784745,prospective
6348,27041628,prospective studies
6349,27041628,prospective
6353,27091372,prospective studies
6354,27091372,prospective
6356,27266559,cohort studies
6357,27266559,cohort
6364,28756810,cross-sectional studies
6365,28756810,cross-sectional
6367,27541030,retrospective studies
6368,27541030,retrospective
6369,29871097,retrospective studies
6370,29871097,retrospective
6371,26801233,retrospective studies
6372,26801233,follow-up studies
6373,26801233,retrospective
6374,26801233,cohort
6375,28095042,retrospective studies
6376,28095042,retrospective
6383,28188700,retrospective studies
6384,28188700,retrospective
6390,27245300,follow-up studies
6391,27245300,retrospective
6392,27013327,follow-up studies
6393,27013327,prospective studies
6394,27013327,prospective
6395,26931517,retrospective studies
6396,26931517,retrospective
6398,29102947,retrospective
6401,26596841,prospective studies
6402,26596841,case-control
6403,26596841,prospective
6404,28684081,cross-sectional studies
6405,28684081,cross-sectional
6408,27071746,cohort studies
6409,27071746,follow-up studies
6410,27071746,cohort
6414,26246426,cohort
6416,28387647,retrospective studies
6417,28387647,retrospective
6418,28250870,retrospective studies
6419,28250870,retrospective
6421,26786663,retrospective studies
6422,26786663,retrospective
6423,26437220,retrospective studies
6424,26437220,retrospective
6426,26780986,follow-up studies
6427,26780986,prospective studies
